Year,P&L Line,Geography,Operating Unit,Global Categories,Mapping,USD (Millions),Local Currency (Millions)
2019,COGS,ASP OU,ASP OU,Packaged Water,5,0.1746,894.5865
2019,Gross Profit,ASP OU,ASP OU,Packaged Water,6,37.2773,56757.3600
2019,DME,ASP OU,ASP OU,Packaged Water,7,18.4546,31217.3053
2019,Operating Expenses,ASP OU,ASP OU,Packaged Water,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Packaged Water,10,18.8227,25540.0547
2019,Unit Cases (UCS),ASP OU,ASP OU,Enhanced Water Beverages,1,2.9688,2.9688
2019,Gross Revenue,ASP OU,ASP OU,Enhanced Water Beverages,2,7.8599,216.0499
2019,DfR,ASP OU,ASP OU,Enhanced Water Beverages,3,0.0802,0.4408
2019,Net Revenue,ASP OU,ASP OU,Enhanced Water Beverages,4,7.7796,215.6091
2019,COGS,ASP OU,ASP OU,Enhanced Water Beverages,5,1.0325,172.8699
2019,Gross Profit,ASP OU,ASP OU,Enhanced Water Beverages,6,6.7471,42.7392
2019,DME,ASP OU,ASP OU,Enhanced Water Beverages,7,0.4916,10.0093
2019,Operating Expenses,ASP OU,ASP OU,Enhanced Water Beverages,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Enhanced Water Beverages,10,6.2555,32.7299
2019,Unit Cases (UCS),ASP OU,ASP OU,Advanced Hydration,1,15.5087,15.5087
2019,Gross Revenue,ASP OU,ASP OU,Advanced Hydration,2,31.5696,15558.8138
2019,DfR,ASP OU,ASP OU,Advanced Hydration,3,0.2786,4.0095
2019,Net Revenue,ASP OU,ASP OU,Advanced Hydration,4,31.2910,15554.8043
2019,COGS,ASP OU,ASP OU,Advanced Hydration,5,3.1735,6970.8790
2019,Gross Profit,ASP OU,ASP OU,Advanced Hydration,6,28.1175,8583.9254
2019,DME,ASP OU,ASP OU,Advanced Hydration,7,6.7052,-5.2779
2019,Operating Expenses,ASP OU,ASP OU,Advanced Hydration,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Advanced Hydration,10,21.4122,8589.2033
2019,Unit Cases (UCS),ASP OU,ASP OU,Tea,1,55.8086,55.8086
2019,Gross Revenue,ASP OU,ASP OU,Tea,2,34.8424,239980.9167
2019,DfR,ASP OU,ASP OU,Tea,3,1.7121,12139.1354
2019,Net Revenue,ASP OU,ASP OU,Tea,4,33.1303,227841.7813
2019,COGS,ASP OU,ASP OU,Tea,5,12.3197,73542.1782
2019,Gross Profit,ASP OU,ASP OU,Tea,6,20.8107,154299.6031
2019,DME,ASP OU,ASP OU,Tea,7,12.7616,126174.7295
2019,Operating Expenses,ASP OU,ASP OU,Tea,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Tea,10,8.0491,28124.8736
2019,Unit Cases (UCS),ASP OU,ASP OU,Juices/Nectars,1,1.2714,1.2714
2019,Gross Revenue,ASP OU,ASP OU,Juices/Nectars,2,3.7862,5306.2055
2019,DfR,ASP OU,ASP OU,Juices/Nectars,3,0.3082,9.4671
2019,Net Revenue,ASP OU,ASP OU,Juices/Nectars,4,3.4780,5296.7384
2019,COGS,ASP OU,ASP OU,Juices/Nectars,5,0.9948,1267.3064
2019,Gross Profit,ASP OU,ASP OU,Juices/Nectars,6,2.4832,4029.4320
2019,DME,ASP OU,ASP OU,Juices/Nectars,7,0.2776,4.2383
2019,Operating Expenses,ASP OU,ASP OU,Juices/Nectars,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Juices/Nectars,10,2.2055,4025.1937
2019,Unit Cases (UCS),ASP OU,ASP OU,Juice Drinks,1,59.4401,59.4401
2019,Gross Revenue,ASP OU,ASP OU,Juice Drinks,2,39.5368,201739.3569
2019,DfR,ASP OU,ASP OU,Juice Drinks,3,4.2945,1955.9927
2019,Net Revenue,ASP OU,ASP OU,Juice Drinks,4,35.2422,199783.3642
2019,COGS,ASP OU,ASP OU,Juice Drinks,5,9.7677,67830.3621
2019,Gross Profit,ASP OU,ASP OU,Juice Drinks,6,25.4745,131953.0021
2019,DME,ASP OU,ASP OU,Juice Drinks,7,9.0863,64596.2111
2019,Operating Expenses,ASP OU,ASP OU,Juice Drinks,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Juice Drinks,10,16.3882,67356.7911
2019,Unit Cases (UCS),ASP OU,ASP OU,Dairy Beverages,1,19.5511,19.5511
2019,Gross Revenue,ASP OU,ASP OU,Dairy Beverages,2,29.7199,363457.8015
2019,DfR,ASP OU,ASP OU,Dairy Beverages,3,-0.4974,313.1754
2019,Net Revenue,ASP OU,ASP OU,Dairy Beverages,4,30.2174,363144.6261
2019,COGS,ASP OU,ASP OU,Dairy Beverages,5,15.5957,150603.1844
2019,Gross Profit,ASP OU,ASP OU,Dairy Beverages,6,14.6217,212541.4417
2019,DME,ASP OU,ASP OU,Dairy Beverages,7,15.5307,171415.4936
2019,Operating Expenses,ASP OU,ASP OU,Dairy Beverages,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Dairy Beverages,10,-0.9090,41125.9481
2019,Unit Cases (UCS),ASP OU,ASP OU,Plant Based Beverages,1,0.0000,0.0000
2019,Gross Revenue,ASP OU,ASP OU,Plant Based Beverages,2,0.0000,0.0000
2019,DfR,ASP OU,ASP OU,Plant Based Beverages,3,0.0000,0.0000
2019,Net Revenue,ASP OU,ASP OU,Plant Based Beverages,4,0.0000,0.0000
2019,COGS,ASP OU,ASP OU,Plant Based Beverages,5,0.0000,0.0000
2019,Gross Profit,ASP OU,ASP OU,Plant Based Beverages,6,0.0000,0.0000
2019,DME,ASP OU,ASP OU,Plant Based Beverages,7,0.0000,0.0000
2019,Operating Expenses,ASP OU,ASP OU,Plant Based Beverages,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Plant Based Beverages,10,0.0000,0.0000
2019,Unit Cases (UCS),ASP OU,ASP OU,Juices/Nectars,1,6.6660,6.6660
2019,Gross Revenue,ASP OU,ASP OU,Juices/Nectars,2,8.9039,12.9278
2019,DfR,ASP OU,ASP OU,Juices/Nectars,3,0.2229,0.3256
2019,Net Revenue,ASP OU,ASP OU,Juices/Nectars,4,8.6811,12.6022
2019,COGS,ASP OU,ASP OU,Juices/Nectars,5,6.2122,9.0629
2019,Gross Profit,ASP OU,ASP OU,Juices/Nectars,6,2.4689,3.5393
2019,DME,ASP OU,ASP OU,Juices/Nectars,7,1.0986,1.6845
2019,Operating Expenses,ASP OU,ASP OU,Juices/Nectars,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Juices/Nectars,10,1.3703,1.8549
2019,Unit Cases (UCS),ASP OU,ASP OU,Other Alcoholic Beverages,1,0.0000,0.0000
2019,Gross Revenue,ASP OU,ASP OU,Other Alcoholic Beverages,2,0.0000,0.0000
2019,DfR,ASP OU,ASP OU,Other Alcoholic Beverages,3,0.0000,0.0000
2019,Net Revenue,ASP OU,ASP OU,Other Alcoholic Beverages,4,0.0000,0.0000
2019,COGS,ASP OU,ASP OU,Other Alcoholic Beverages,5,0.0000,0.0000
2019,Gross Profit,ASP OU,ASP OU,Other Alcoholic Beverages,6,0.0000,0.0000
2019,DME,ASP OU,ASP OU,Other Alcoholic Beverages,7,0.0000,0.0000
2019,Operating Expenses,ASP OU,ASP OU,Other Alcoholic Beverages,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Other Alcoholic Beverages,10,0.0000,0.0000
2019,Unit Cases (UCS),ASP OU,ASP OU,Other Alcoholic Beverages,1,0.0000,0.0000
2019,Gross Revenue,ASP OU,ASP OU,Other Alcoholic Beverages,2,0.0871,0.1222
2019,DfR,ASP OU,ASP OU,Other Alcoholic Beverages,3,0.0000,0.0001
2019,Net Revenue,ASP OU,ASP OU,Other Alcoholic Beverages,4,0.0870,0.1221
2019,COGS,ASP OU,ASP OU,Other Alcoholic Beverages,5,0.0000,0.0000
2019,Gross Profit,ASP OU,ASP OU,Other Alcoholic Beverages,6,0.0870,0.1221
2019,DME,ASP OU,ASP OU,Other Alcoholic Beverages,7,0.0018,0.0027
2019,Operating Expenses,ASP OU,ASP OU,Other Alcoholic Beverages,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Other Alcoholic Beverages,10,0.0852,0.1194
2019,Unit Cases (UCS),ASP OU,ASP OU,Other Alcoholic Beverages,1,0.0000,0.0000
2019,Gross Revenue,ASP OU,ASP OU,Other Alcoholic Beverages,2,0.0000,0.0000
2019,DfR,ASP OU,ASP OU,Other Alcoholic Beverages,3,0.0000,0.0000
2019,Net Revenue,ASP OU,ASP OU,Other Alcoholic Beverages,4,0.0000,0.0000
2019,COGS,ASP OU,ASP OU,Other Alcoholic Beverages,5,0.0000,0.0000
2019,Gross Profit,ASP OU,ASP OU,Other Alcoholic Beverages,6,0.0000,0.0000
2019,DME,ASP OU,ASP OU,Other Alcoholic Beverages,7,0.0000,0.0000
2019,Operating Expenses,ASP OU,ASP OU,Other Alcoholic Beverages,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Other Alcoholic Beverages,10,0.0000,0.0000
2019,Unit Cases (UCS),ASP OU,ASP OU,Energy,1,0.0000,0.0000
2019,Gross Revenue,ASP OU,ASP OU,Energy,2,-0.0546,-0.0766
2019,DfR,ASP OU,ASP OU,Energy,3,0.0000,0.0000
2019,Net Revenue,ASP OU,ASP OU,Energy,4,-0.0546,-0.0766
2019,COGS,ASP OU,ASP OU,Energy,5,0.0005,0.0007
2019,Gross Profit,ASP OU,ASP OU,Energy,6,-0.0551,-0.0773
2019,DME,ASP OU,ASP OU,Energy,7,-0.0012,-0.0017
2019,Operating Expenses,ASP OU,ASP OU,Energy,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Energy,10,-0.0540,-0.0756
2019,Unit Cases (UCS),ASP OU,ASP OU,Other Categories,1,0.1426,0.1426
2019,Gross Revenue,ASP OU,ASP OU,Other Categories,2,-0.4789,-0.5608
2019,DfR,ASP OU,ASP OU,Other Categories,3,-0.0001,-0.0001
2019,Net Revenue,ASP OU,ASP OU,Other Categories,4,-0.4788,-0.5606
2019,COGS,ASP OU,ASP OU,Other Categories,5,0.2515,0.5595
2019,Gross Profit,ASP OU,ASP OU,Other Categories,6,-0.7303,-1.1201
2019,DME,ASP OU,ASP OU,Other Categories,7,-0.0068,-0.0101
2019,Operating Expenses,ASP OU,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Other Categories,10,-0.7234,-1.1100
2019,Unit Cases (UCS),ASP OU,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,ASP OU,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,ASP OU,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,ASP OU,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,ASP OU,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,ASP OU,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,ASP OU,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,ASP OU,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),ASP OU,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,ASP OU,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,ASP OU,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,ASP OU,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,ASP OU,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,ASP OU,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,ASP OU,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,ASP OU,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),ASP OU,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,ASP OU,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,ASP OU,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,ASP OU,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,ASP OU,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,ASP OU,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,ASP OU,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,ASP OU,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),ASP OU,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,ASP OU,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,ASP OU,ASP OU,Other Categories,3,0.1104,0.1511
2019,Net Revenue,ASP OU,ASP OU,Other Categories,4,-0.1104,-0.1511
2019,COGS,ASP OU,ASP OU,Other Categories,5,-1.0137,0.0061
2019,Gross Profit,ASP OU,ASP OU,Other Categories,6,0.9033,-0.1572
2019,DME,ASP OU,ASP OU,Other Categories,7,-4.3604,-21095.0838
2019,Operating Expenses,ASP OU,ASP OU,Other Categories,9,149.2261,386953.0887
2019,Operating Income,ASP OU,ASP OU,Other Categories,10,-143.9623,-365858.1622
2019,Unit Cases (UCS),ASP OU,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,ASP OU,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,ASP OU,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,ASP OU,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,ASP OU,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,ASP OU,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,ASP OU,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,ASP OU,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),ASP OU,ASP OU,Prepared Coffee,1,1.1031,1.1031
2019,Gross Revenue,ASP OU,ASP OU,Prepared Coffee,2,0.0892,0.1219
2019,DfR,ASP OU,ASP OU,Prepared Coffee,3,0.0000,0.0000
2019,Net Revenue,ASP OU,ASP OU,Prepared Coffee,4,0.0892,0.1219
2019,COGS,ASP OU,ASP OU,Prepared Coffee,5,0.0674,0.0921
2019,Gross Profit,ASP OU,ASP OU,Prepared Coffee,6,0.0218,0.0297
2019,DME,ASP OU,ASP OU,Prepared Coffee,7,0.0000,0.0000
2019,Operating Expenses,ASP OU,ASP OU,Prepared Coffee,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Prepared Coffee,10,0.0218,0.0297
2019,Unit Cases (UCS),ASP OU,ASP OU,Packaged Coffee,1,1.5806,1.5806
2019,Gross Revenue,ASP OU,ASP OU,Packaged Coffee,2,1.9901,2020.1946
2019,DfR,ASP OU,ASP OU,Packaged Coffee,3,0.1278,0.3041
2019,Net Revenue,ASP OU,ASP OU,Packaged Coffee,4,1.8623,2019.8905
2019,COGS,ASP OU,ASP OU,Packaged Coffee,5,1.6678,1187.4003
2019,Gross Profit,ASP OU,ASP OU,Packaged Coffee,6,0.1945,832.4901
2019,DME,ASP OU,ASP OU,Packaged Coffee,7,3.9718,-33.4968
2019,Operating Expenses,ASP OU,ASP OU,Packaged Coffee,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,Packaged Coffee,10,-3.7773,865.9870
2019,Unit Cases (UCS),ASP OU,ASP OU,NRTD Coffee,1,0.0000,0.0000
2019,Gross Revenue,ASP OU,ASP OU,NRTD Coffee,2,0.0000,0.0000
2019,DfR,ASP OU,ASP OU,NRTD Coffee,3,0.0000,0.0000
2019,Net Revenue,ASP OU,ASP OU,NRTD Coffee,4,0.0000,0.0000
2019,COGS,ASP OU,ASP OU,NRTD Coffee,5,0.0000,0.0000
2019,Gross Profit,ASP OU,ASP OU,NRTD Coffee,6,0.0000,0.0000
2019,DME,ASP OU,ASP OU,NRTD Coffee,7,0.0000,0.0000
2019,Operating Expenses,ASP OU,ASP OU,NRTD Coffee,9,0.0000,0.0000
2019,Operating Income,ASP OU,ASP OU,NRTD Coffee,10,0.0000,0.0000
2019,Unit Cases (UCS),ASPOU Non-T40,ASP OU,Total Category,1,308.8666,308.8666
2019,Gross Revenue,ASPOU Non-T40,ASP OU,Total Category,2,208.0034,31875.1471
2019,DfR,ASPOU Non-T40,ASP OU,Total Category,3,21.6279,3122.2785
2019,Net Revenue,ASPOU Non-T40,ASP OU,Total Category,4,186.3754,28752.8686
2019,COGS,ASPOU Non-T40,ASP OU,Total Category,5,31.7650,8919.3802
2019,Gross Profit,ASPOU Non-T40,ASP OU,Total Category,6,154.6104,19833.4884
2019,DME,ASPOU Non-T40,ASP OU,Total Category,7,45.3094,13456.6638
2019,Operating Expenses,ASPOU Non-T40,ASP OU,Total Category,9,68.5391,5300.1568
2019,Operating Income,ASPOU Non-T40,ASP OU,Total Category,10,40.7619,1076.6678
2019,Unit Cases (UCS),ASPOU Non-T40,ASP OU,Coca-Cola,1,140.4116,140.4116
2019,Gross Revenue,ASPOU Non-T40,ASP OU,Coca-Cola,2,104.8279,11923.2177
2019,DfR,ASPOU Non-T40,ASP OU,Coca-Cola,3,15.8682,3072.6486
2019,Net Revenue,ASPOU Non-T40,ASP OU,Coca-Cola,4,88.9597,8850.5691
2019,COGS,ASPOU Non-T40,ASP OU,Coca-Cola,5,10.4895,2123.9494
2019,Gross Profit,ASPOU Non-T40,ASP OU,Coca-Cola,6,78.4702,6726.6197
2019,DME,ASPOU Non-T40,ASP OU,Coca-Cola,7,28.4714,10927.0531
2019,Operating Expenses,ASPOU Non-T40,ASP OU,Coca-Cola,9,0.0000,0.0000
2019,Operating Income,ASPOU Non-T40,ASP OU,Coca-Cola,10,49.9988,-4200.4334
2019,Unit Cases (UCS),ASPOU Non-T40,ASP OU,Sparkling Flavors,1,93.3113,93.3113
2019,Gross Revenue,ASPOU Non-T40,ASP OU,Sparkling Flavors,2,60.3905,16860.2575
2019,DfR,ASPOU Non-T40,ASP OU,Sparkling Flavors,3,3.5996,11.5534
2019,Net Revenue,ASPOU Non-T40,ASP OU,Sparkling Flavors,4,56.7909,16848.7042
2019,COGS,ASPOU Non-T40,ASP OU,Sparkling Flavors,5,10.8413,5377.6723
2019,Gross Profit,ASPOU Non-T40,ASP OU,Sparkling Flavors,6,45.9495,11471.0319
2019,DME,ASPOU Non-T40,ASP OU,Sparkling Flavors,7,7.5760,2660.7639
2019,Operating Expenses,ASPOU Non-T40,ASP OU,Sparkling Flavors,9,0.0000,0.0000
2019,Operating Income,ASPOU Non-T40,ASP OU,Sparkling Flavors,10,38.3735,8810.2680
2019,Unit Cases (UCS),ASPOU Non-T40,ASP OU,Packaged Water,1,43.6140,43.6140
2019,Gross Revenue,ASPOU Non-T40,ASP OU,Packaged Water,2,4.2430,155.8337
2019,DfR,ASPOU Non-T40,ASP OU,Packaged Water,3,0.0688,0.1729
2019,Net Revenue,ASPOU Non-T40,ASP OU,Packaged Water,4,4.1742,155.6607
2019,COGS,ASPOU Non-T40,ASP OU,Packaged Water,5,0.0320,5.1417
2019,Gross Profit,ASPOU Non-T40,ASP OU,Packaged Water,6,4.1421,150.5190
2019,DME,ASPOU Non-T40,ASP OU,Packaged Water,7,0.2153,0.3475
2019,Operating Expenses,ASPOU Non-T40,ASP OU,Packaged Water,9,0.0000,0.0000
2019,Operating Income,ASPOU Non-T40,ASP OU,Packaged Water,10,3.9269,150.1715
2019,Unit Cases (UCS),ASPOU Non-T40,ASP OU,Enhanced Water Beverages,1,1.0103,1.0103
2019,Gross Revenue,ASPOU Non-T40,ASP OU,Enhanced Water Beverages,2,2.5710,5.5851
2019,DfR,ASPOU Non-T40,ASP OU,Enhanced Water Beverages,3,0.0527,0.0723
2019,Net Revenue,ASPOU Non-T40,ASP OU,Enhanced Water Beverages,4,2.5182,5.5128
2019,COGS,ASPOU Non-T40,ASP OU,Enhanced Water Beverages,5,0.5474,1.3981
2019,Gross Profit,ASPOU Non-T40,ASP OU,Enhanced Water Beverages,6,1.9709,4.1147
2019,DME,ASPOU Non-T40,ASP OU,Enhanced Water Beverages,7,0.1218,0.1728
2019,Operating Expenses,ASPOU Non-T40,ASP OU,Enhanced Water Beverages,9,0.0000,0.0000
2019,Operating Income,ASPOU Non-T40,ASP OU,Enhanced Water Beverages,10,1.8491,3.9419
2019,Unit Cases (UCS),ASPOU Non-T40,ASP OU,Advanced Hydration,1,2.9654,2.9654
2019,Gross Revenue,ASPOU Non-T40,ASP OU,Advanced Hydration,2,6.9062,173.8677
2019,DfR,ASPOU Non-T40,ASP OU,Advanced Hydration,3,0.0625,0.0627
2019,Net Revenue,ASPOU Non-T40,ASP OU,Advanced Hydration,4,6.8437,173.8050
2019,COGS,ASPOU Non-T40,ASP OU,Advanced Hydration,5,0.7227,53.3938
2019,Gross Profit,ASPOU Non-T40,ASP OU,Advanced Hydration,6,6.1209,120.4112
2019,DME,ASPOU Non-T40,ASP OU,Advanced Hydration,7,1.8723,99.7673
2019,Operating Expenses,ASPOU Non-T40,ASP OU,Advanced Hydration,9,0.0000,0.0000
2019,Operating Income,ASPOU Non-T40,ASP OU,Advanced Hydration,10,4.2486,20.6439
2019,Unit Cases (UCS),ASPOU Non-T40,ASP OU,Tea,1,12.1550,12.1550
2019,Gross Revenue,ASPOU Non-T40,ASP OU,Tea,2,7.3233,279.3923
2019,DfR,ASPOU Non-T40,ASP OU,Tea,3,0.3543,0.8230
2019,Net Revenue,ASPOU Non-T40,ASP OU,Tea,4,6.9689,278.5693
2019,COGS,ASPOU Non-T40,ASP OU,Tea,5,1.8506,106.6479
2019,Gross Profit,ASPOU Non-T40,ASP OU,Tea,6,5.1184,171.9215
2019,DME,ASPOU Non-T40,ASP OU,Tea,7,2.6738,4.2814
2019,Operating Expenses,ASPOU Non-T40,ASP OU,Tea,9,0.0000,0.0000
2019,Operating Income,ASPOU Non-T40,ASP OU,Tea,10,2.4446,167.6401
2019,Unit Cases (UCS),ASPOU Non-T40,ASP OU,Juices/Nectars,1,0.6957,0.6957
2019,Gross Revenue,ASPOU Non-T40,ASP OU,Juices/Nectars,2,2.2522,599.5561
2019,DfR,ASPOU Non-T40,ASP OU,Juices/Nectars,3,0.0000,0.0000
2019,Net Revenue,ASPOU Non-T40,ASP OU,Juices/Nectars,4,2.2522,599.5560
2019,COGS,ASPOU Non-T40,ASP OU,Juices/Nectars,5,0.6716,110.0839
2019,Gross Profit,ASPOU Non-T40,ASP OU,Juices/Nectars,6,1.5805,489.4721
2019,DME,ASPOU Non-T40,ASP OU,Juices/Nectars,7,0.1454,0.2291
2019,Operating Expenses,ASPOU Non-T40,ASP OU,Juices/Nectars,9,0.0000,0.0000
2019,Operating Income,ASPOU Non-T40,ASP OU,Juices/Nectars,10,1.4352,489.2430
2019,Unit Cases (UCS),ASPOU Non-T40,ASP OU,Juice Drinks,1,8.7942,8.7942
2019,Gross Revenue,ASPOU Non-T40,ASP OU,Juice Drinks,2,9.7073,1287.0815
2019,DfR,ASPOU Non-T40,ASP OU,Juice Drinks,3,1.4536,36.7061
2019,Net Revenue,ASPOU Non-T40,ASP OU,Juice Drinks,4,8.2537,1250.3754
2019,COGS,ASPOU Non-T40,ASP OU,Juice Drinks,5,1.8525,718.5875
2019,Gross Profit,ASPOU Non-T40,ASP OU,Juice Drinks,6,6.4012,531.7879
2019,DME,ASPOU Non-T40,ASP OU,Juice Drinks,7,1.4455,498.6368
2019,Operating Expenses,ASPOU Non-T40,ASP OU,Juice Drinks,9,0.0000,0.0000
2019,Operating Income,ASPOU Non-T40,ASP OU,Juice Drinks,10,4.9557,33.1511
2019,Unit Cases (UCS),ASPOU Non-T40,ASP OU,Dairy Beverages,1,0.6751,0.6751
2019,Gross Revenue,ASPOU Non-T40,ASP OU,Dairy Beverages,2,2.1260,579.3204
2019,DfR,ASPOU Non-T40,ASP OU,Dairy Beverages,3,0.0000,0.0001
2019,Net Revenue,ASPOU Non-T40,ASP OU,Dairy Beverages,4,2.1260,579.3203
2019,COGS,ASPOU Non-T40,ASP OU,Dairy Beverages,5,1.0892,413.1554
2019,Gross Profit,ASPOU Non-T40,ASP OU,Dairy Beverages,6,1.0368,166.1649
2019,DME,ASPOU Non-T40,ASP OU,Dairy Beverages,7,2.5819,268.2189
2019,Operating Expenses,ASPOU Non-T40,ASP OU,Dairy Beverages,9,0.0000,0.0000
2019,Operating Income,ASPOU Non-T40,ASP OU,Dairy Beverages,10,-1.5452,-102.0540
2019,Unit Cases (UCS),ASPOU Non-T40,ASP OU,Plant Based Beverages,1,0.0000,0.0000
2019,Gross Revenue,ASPOU Non-T40,ASP OU,Plant Based Beverages,2,0.0000,0.0000
2019,DfR,ASPOU Non-T40,ASP OU,Plant Based Beverages,3,0.0000,0.0000
2019,Net Revenue,ASPOU Non-T40,ASP OU,Plant Based Beverages,4,0.0000,0.0000
